session	epoch_start_time_sec	30-sec_epoch_sleep_stage
task-rest_run-1	0	W
task-rest_run-1	30	W
task-rest_run-1	60	W
task-rest_run-1	90	W
task-rest_run-1	120	W
task-rest_run-1	150	W
task-rest_run-1	180	W
task-rest_run-1	210	W
task-rest_run-1	240	W
task-rest_run-1	270	W
task-rest_run-1	300	W
task-rest_run-1	330	W
task-rest_run-1	360	W
task-rest_run-1	390	W
task-rest_run-1	420	W
task-rest_run-1	450	W
task-rest_run-1	480	W
task-rest_run-1	510	W
task-rest_run-1	540	W
task-rest_run-1	570	W
task-rest_run-2	0	1
task-rest_run-2	30	1
task-rest_run-2	60	1
task-rest_run-2	90	1
task-rest_run-2	120	W
task-rest_run-2	150	1
task-rest_run-2	180	1
task-rest_run-2	210	1
task-rest_run-2	240	1
task-rest_run-2	270	1
task-rest_run-2	300	1
task-rest_run-2	330	W
task-rest_run-2	360	1
task-rest_run-2	390	W
task-rest_run-2	420	W
task-rest_run-2	450	1
task-rest_run-2	480	1
task-rest_run-2	510	1
task-rest_run-2	540	1
task-rest_run-2	570	1
task-sleep_run-1	0	W
task-sleep_run-1	30	W
task-sleep_run-1	60	W
task-sleep_run-1	90	W
task-sleep_run-1	120	W
task-sleep_run-1	150	W
task-sleep_run-1	180	W
task-sleep_run-1	210	W
task-sleep_run-1	240	W
task-sleep_run-1	270	W
task-sleep_run-1	300	W
task-sleep_run-1	330	W
task-sleep_run-1	360	W
task-sleep_run-1	390	W
task-sleep_run-1	420	W
task-sleep_run-1	450	W
task-sleep_run-1	480	W
task-sleep_run-1	510	W
task-sleep_run-1	540	1
task-sleep_run-1	570	1
task-sleep_run-1	600	1
task-sleep_run-1	630	1
task-sleep_run-1	660	1
task-sleep_run-1	690	W
task-sleep_run-1	720	W
task-sleep_run-1	750	W
task-sleep_run-1	780	1
task-sleep_run-1	810	2
task-sleep_run-1	840	1
task-sleep_run-1	870	2
task-sleep_run-2	0	W
task-sleep_run-2	30	W
task-sleep_run-2	60	W
task-sleep_run-2	90	W
task-sleep_run-2	120	W
task-sleep_run-2	150	W
task-sleep_run-2	180	W
task-sleep_run-2	210	W
task-sleep_run-2	240	W
task-sleep_run-2	270	W
task-sleep_run-2	300	W
task-sleep_run-2	330	W
task-sleep_run-2	360	W
task-sleep_run-2	390	W
task-sleep_run-2	420	W
task-sleep_run-2	450	W
task-sleep_run-2	480	W
task-sleep_run-2	510	W
task-sleep_run-2	540	W
task-sleep_run-2	570	W
task-sleep_run-2	600	W
task-sleep_run-2	630	W
task-sleep_run-2	660	W
task-sleep_run-2	690	W
task-sleep_run-2	720	W
task-sleep_run-2	750	W
task-sleep_run-2	780	W
task-sleep_run-2	810	W
task-sleep_run-2	840	W
task-sleep_run-2	870	W
task-sleep_run-3	0	1
task-sleep_run-3	30	1
task-sleep_run-3	60	1
task-sleep_run-3	90	1
task-sleep_run-3	120	1
task-sleep_run-3	150	1
task-sleep_run-3	180	1
task-sleep_run-3	210	1
task-sleep_run-3	240	1
task-sleep_run-3	270	2
task-sleep_run-3	300	2
task-sleep_run-3	330	1
task-sleep_run-3	360	1
task-sleep_run-3	390	1
task-sleep_run-3	420	1
task-sleep_run-3	450	1
task-sleep_run-3	480	1
task-sleep_run-3	510	2
task-sleep_run-3	540	1
task-sleep_run-3	570	1
task-sleep_run-3	600	1
task-sleep_run-3	630	1
task-sleep_run-3	660	1
task-sleep_run-3	690	2
task-sleep_run-3	720	2
task-sleep_run-3	750	2
task-sleep_run-3	780	2
task-sleep_run-3	810	2
task-sleep_run-3	840	2
task-sleep_run-3	870	2
