session	epoch_start_time_sec	30-sec_epoch_sleep_stage
task-rest_run-1	0	W
task-rest_run-1	30	W
task-rest_run-1	60	W
task-rest_run-1	90	1
task-rest_run-1	120	W
task-rest_run-1	150	W
task-rest_run-1	180	1
task-rest_run-1	210	1
task-rest_run-1	240	1
task-rest_run-1	270	1
task-rest_run-1	300	W
task-rest_run-1	330	1
task-rest_run-1	360	W
task-rest_run-1	390	1
task-rest_run-1	420	1
task-rest_run-1	450	W
task-rest_run-1	480	1
task-rest_run-1	510	1
task-rest_run-1	540	W
task-rest_run-1	570	1
task-rest_run-2	0	W
task-rest_run-2	30	W
task-rest_run-2	60	W
task-rest_run-2	90	W
task-rest_run-2	120	W
task-rest_run-2	150	W
task-rest_run-2	180	1
task-rest_run-2	210	W
task-rest_run-2	240	W
task-rest_run-2	270	1
task-rest_run-2	300	W
task-rest_run-2	330	W
task-rest_run-2	360	W
task-rest_run-2	390	W
task-rest_run-2	420	W
task-rest_run-2	450	1
task-rest_run-2	480	W
task-rest_run-2	510	W
task-rest_run-2	540	1
task-rest_run-2	570	1
